tag,hostname,category,location,rack,uPosition,status,purchaseCost,purchaseDate,salvageValue,usefulLifeYears
AST-BTM-ACS-032,N-BTM-L3-02-002,AC Split,neuCentrIX Batam,IT Hall Lt.3,-,Active,,2016-01-01,,10
AST-BTM-ACS-033,N-BTM-L3-02-003,AC Split,neuCentrIX Batam,IT Hall Lt.3,-,Active,,2016-01-01,,10
AST-BTM-ACS-034,N-BTM-L3-02-004,AC Split,neuCentrIX Batam,IT Hall Lt.3,-,Active,,2016-01-01,,10
AST-BTM-ACS-035,N-BTM-L3-02-005,AC Split,neuCentrIX Batam,IT Hall Lt.3,-,Active,,2016-01-01,,10
AST-BTM-ACS-036,N-BTM-L3-02-006,AC Split,neuCentrIX Batam,IT Hall Lt.3,-,Active,,2016-01-01,,10
AST-BTM-ACS-037,N-BTM-L3-02-007,AC Split,neuCentrIX Batam,IT Hall Lt.3,-,Active,,2016-01-01,,10
AST-BTM-ACS-038,N-BTM-L3-02-008,AC Split,neuCentrIX Batam,IT Hall Lt.3,-,Active,,2016-01-01,,10
AST-BTM-ACS-039,N-BTM-L3-02-009,AC Split,neuCentrIX Batam,IT Hall Lt.3,-,Active,,2016-01-01,,10
AST-BTM-ACS-040,N-BTM-L3-02-010,AC Split,neuCentrIX Batam,IT Hall Lt.3,-,Active,,2016-01-01,,10
AST-BTM-ACS-041,N-BTM-L3-03-001,AC Split,neuCentrIX Batam,IT Hall Lt.3,-,Active,,2016-01-01,,10
AST-BTM-ACS-042,N-BTM-L3-03-002,AC Split,neuCentrIX Batam,IT Hall Lt.3,-,Active,,2016-01-01,,10
AST-BTM-ACS-043,N-BTM-L3-03-003,AC Split,neuCentrIX Batam,IT Hall Lt.3,-,Active,,2016-01-01,,10
AST-BTM-ACS-044,N-BTM-L3-03-004,AC Split,neuCentrIX Batam,IT Hall Lt.3,-,Active,,2016-01-01,,10
AST-BTM-ACS-045,N-BTM-L3-03-005,AC Split,neuCentrIX Batam,IT Hall Lt.3,-,Active,,2016-01-01,,10
AST-BTM-ACS-046,N-BTM-L3-03-006,AC Split,neuCentrIX Batam,IT Hall Lt.3,-,Active,,2016-01-01,,10
AST-BTM-ACS-047,N-BTM-L3-03-007,AC Split,neuCentrIX Batam,IT Hall Lt.3,-,Active,,2016-01-01,,10
AST-BTM-ACS-048,N-BTM-L3-03-008,AC Split,neuCentrIX Batam,IT Hall Lt.3,-,Active,,2016-01-01,,10
AST-BTM-ACS-049,N-BTM-L3-03-009,AC Split,neuCentrIX Batam,IT Hall Lt.3,-,Active,,2016-01-01,,10
AST-BTM-ACS-050,N-BTM-L3-03-010,AC Split,neuCentrIX Batam,IT Hall Lt.3,-,Active,,2016-01-01,,10
AST-BTM-ACS-051,N-BTM-L3-04-001,AC Split,neuCentrIX Batam,IT Hall Lt.3,-,Active,,2016-01-01,,10
AST-BTM-ACS-052,N-BTM-L3-04-002,AC Split,neuCentrIX Batam,IT Hall Lt.3,-,Active,,2016-01-01,,10
AST-BTM-ACS-053,N-BTM-L3-04-003,AC Split,neuCentrIX Batam,IT Hall Lt.3,-,Active,,2016-01-01,,10
AST-BTM-ACS-054,N-BTM-L3-04-004,AC Split,neuCentrIX Batam,IT Hall Lt.3,-,Active,,2016-01-01,,10
